Karcher reference,Store_Type,Solution_Type,Store_Size_SQFT,Productivity_SQ_F_PerHour,Cost_Per_Hour_Labour_Only,Address 1,Address 2,Town ,Postcode,location,latitude,longitude,Total_Cleaning_Hours,Cleaning_cost_per_store,Demand,Priority_Level,Resource_Type,Estimated_Service_Time_Hours
1812201377,Convenience Store ,Mobile Solution,6738,1400,£13.77,20 Millrise Road,,Milton,ST2 7BW,ST2 7BW,53.0495875,-2.1418685,2.142857143,£29.51,2,Low,Mobile+Robots,6.394142857142858
1812201387,Convenience Store ,Mobile Solution,6668,1400,£13.77,22 Elephant Lane,,St. Helens,WA9 5QW,WA9 5QW,53.4356483,-2.7572492,2.142857143,£29.51,4,High,Mobile+Robots,6.339142857142857
1812201374,Convenience Store ,Mobile Solution,8697,1400,£13.77,187 Hanley Road,Sneyd Green,Stoke-on-Trent,ST1 6BG,ST1 6BG,53.0382697,-2.1696752,2.142857143,£29.51,7,High,Fixed,7.933357142857144
1812201360,Convenience Store ,Mobile Solution,9033,1400,£13.77,63 Didsbury Road,,Stockport,SK4 2BA,SK4 2BA,53.410586,-2.1821513,2.142857143,£29.51,8,Low,Fixed,8.197357142857143
1812201381,Convenience Store ,Mobile Solution,1062,1400,£13.77,125 Hanbridge Avenue,Bradwell,Newcastle,ST5 8HX,ST5 8HX,53.0406309,-2.2346673,2.142857143,£29.51,3,Low,Mobile,1.9344285714285714
1812206064,Convenience Store ,Mobile Solution,8829,1400,£13.77,1 Colmore Row,,Birmingham,B3 2BJ,B3 2BJ,52.4827383,-1.898496,2.142857143,£29.51,1,Low,Fixed,8.037071429
1812206066,Convenience Store ,Mobile Solution,8352,1400,£13.77,Slade Road,,Sutton Coldfield,B75 5PF,B75 5PF,52.589597,-1.8072622,2.142857143,£29.51,4,Medium,Fixed,7.662285714285715
1812206075,Convenience Store ,Mobile Solution,7915,1400,£13.77,60 King Street,Whalley,Clitheroe,BB7 9SN,BB7 9SN,53.8222974,-2.4062358,2.142857143,£29.51,2,High,Fixed,7.318928571428572
1812206683,Convenience Store ,Mobile Solution,9326,1400,£13.77,Beckfield Lane,,York,YO26 5PW,YO26 5PW,53.9618998,-1.1345178,2.142857143,£29.51,8,Medium,Fixed,8.427571429
1812206690,Convenience Store ,Mobile Solution,4644,1400,£13.77,47 Main Street,Bishopthorpe,York,YO23 2RA,YO23 2RA,53.9217801,-1.0969888,2.142857143,£29.51,4,High,Mobile+Robots,4.748857142857143
1812206730,Convenience Store ,Mobile Solution,5970,1400,£13.77,Great North Road,Little Paxton,St. Neots,PE19 6EN,PE19 6EN,52.2521623,-0.2657879,2.142857143,£29.51,2,High,Mobile+Robots,5.790714285714286
1812206774,Convenience Store ,Mobile Solution,9003,1400,£13.77,Conisholme Road,North Somercotes,Louth,LN11 7PS,LN11 7PS,53.4469681,0.1279217,2.142857143,£29.51,6,High,Fixed,8.173785714285716
1812206704,Convenience Store ,Mobile Solution,4278,1400,£13.77,Newtown Street,,Duns,TD11 3DT,TD11 3DT,55.7784904,-2.3462181,2.142857143,£29.51,6,High,Mobile+Robots,4.461285714285715
1812206708,Convenience Store ,Mobile Solution,8296,1400,£13.77,18 The Broadway,,Leigh-on-Sea,SS9 1AW,SS9 1AW,51.5412845,0.655959,2.142857143,£29.51,4,High,Fixed,7.618285714285715
1812206741,Convenience Store ,Mobile Solution,4074,1400,£13.77,Grangeway,,Rushden,NN10 9JE,NN10 9JE,52.2822718,-0.6094033,2.142857143,£29.51,6,High,Mobile+Robots,4.301
1812206736,Convenience Store ,Mobile Solution,9312,1400,£13.77,55 Latchet Lane,,Northampton,NN5 4GF,NN5 4GF,52.2364293,-0.9435246,2.142857143,£29.51,2,High,Fixed,8.416571428571428
1812206685,Convenience Store ,Mobile Solution,8552,1400,£13.77,97 Boroughbridge Road,,York,YO26 6AA,YO26 6AA,53.9658709,-1.1255947,2.142857143,£29.51,2,Medium,Fixed,7.819428571428572
1812206732,Convenience Store ,Mobile Solution,2637,1400,£13.77,Whitney Road,Kingston Bagpuize,Abingdon,OX13 5AN,OX13 5AN,51.6827517,-1.4124603,2.142857143,£29.51,4,Low,Mobile,3.171928571428572
1812209429,Convenience Store ,Mobile Solution,6103,1400,£13.77,High Croft,,Kelso,TD5 7NB,TD5 7NB,55.6071014,-2.4358151,2.142857143,£29.51,8,Low,Mobile+Robots,5.895214285714286
1812206773,Convenience Store ,Mobile Solution,1644,1400,£13.77,151-153 Biscot Road,,Luton,LU3 1AW,LU3 1AW,51.8926,-0.4302642,2.142857143,£29.51,7,Medium,Mobile,2.391714285714286
1812206713,Convenience Store ,Mobile Solution,3032,1400,£13.77,2 Oldfield Road,Stannington,Sheffield,S6 6DT,S6 6DT,53.3919442,-1.5350938,2.142857143,£29.51,9,Medium,Mobile+Robots,3.4822857142857147
1812206712,Convenience Store ,Mobile Solution,3761,1400,£13.77,26-30 Fleming Crescent,,Hertford,SG14 2DJ,SG14 2DJ,51.80021,-0.1012177,2.142857143,£29.51,8,Medium,Mobile+Robots,4.055071428571429
1812206718,Convenience Store ,Mobile Solution,3068,1400,£13.77,142 Cambridge Road,Churchtown,Southport,PR9 9RZ,PR9 9RZ,53.6611895,-2.9680051,2.142857143,£29.51,5,Medium,Mobile+Robots,3.5105714285714287
1812206691,Convenience Store ,Mobile Solution,1241,1400,£13.77,75-77 East Parade,,York,YO31 7YB,YO31 7YB,53.9654163,-1.0651651,2.142857143,£29.51,2,High,Mobile,2.075071428571429
1812206980,Convenience Store ,Mobile Solution,3668,1400,£13.77,Silver Street,Kincardine,Alloa,FK10 4NS,FK10 4NS,56.066545,-3.7197863,2.142857143,£29.51,5,Low,Mobile+Robots,3.9820000000000007
1812206727,Convenience Store ,Mobile Solution,1802,1400,£13.77,16 Lynn Road,,King's Lynn,PE31 7PT,PE31 7PT,52.8780885,0.5033136,2.142857143,£29.51,8,High,Mobile,2.5158571428571435
1812206714,Convenience Store ,Mobile Solution,6059,1400,£13.77,240 Ashgate Road,,Chesterfield,S40 4AW,S40 4AW,53.2395863,-1.454619,2.142857143,£29.51,9,Low,Mobile+Robots,5.8606428571428575
1812254160,Convenience Store ,Mobile Solution,1195,1400,£13.77,46 Dunkeld Street,,Aberfeldy,PH15 2AF,PH15 2AF,56.6204884,-3.8629229,2.142857143,£29.51,9,Low,Mobile,2.038928571428572
1812229258,Convenience Store ,Mobile Solution,3187,1400,£13.77,Calver Road,,Bakewell,DE45 1RP,DE45 1RP,53.2488012,-1.6253811,2.142857143,£29.51,1,Medium,Mobile+Robots,3.604071428571429
1812222095,Convenience Store ,Mobile Solution,3330,1400,£13.77,Beacon Hill Road,,Newark,NG24 2JG,NG24 2JG,53.0761269,-0.7923055,2.142857143,£29.51,9,High,Mobile+Robots,3.7164285714285716
1812219478,Convenience Store ,Mobile Solution,5841,1400,£13.77,218 Hayley Road,,Halesowen,B63 4QQ,B63 4QQ,52.4444066,-2.0593579,2.142857143,£29.51,7,Medium,Mobile+Robots,5.689357142857143
1812229164,Convenience Store ,Mobile Solution,4606,1400,£13.77,St. John's Street,,Bridlington,YO16 7JS,YO16 7JS,54.0917706,-0.2040306,2.142857143,£29.51,9,High,Mobile+Robots,4.719
1812207002,Convenience Store ,Mobile Solution,9468,1400,£13.77,The Hill,,Sandbach,CW11 1HT,CW11 1HT,53.1417327,-2.3537371,2.142857143,£29.51,8,Low,Fixed,8.539142857142858
1812206999,Convenience Store ,Mobile Solution,1060,1400,£13.77,"The Vine Inn, 5 Rope Lane",Shavington,Crewe,CW2 5DT,CW2 5DT,53.0640081,-2.4509317,2.142857143,£29.51,1,Medium,Mobile,1.932857142857143
1812207101,Convenience Store ,Mobile Solution,4927,1400,£13.77,Market Place,,Alston,CA9 3HS,CA9 3HS,54.8126964,-2.4390745,2.142857143,£29.51,8,Medium,Mobile+Robots,4.971214285714286
1812207107,Convenience Store ,Mobile Solution,7296,1400,£13.77,A197,Loansdean,Morpeth,NE61 2DR,NE61 2DR,55.1525518,-1.691247,2.142857143,£29.51,8,Low,Fixed,6.832571429
1812207127,Convenience Store ,Mobile Solution,3591,1400,£13.77,12-15 Gate Way House,Piccadilly Station Approach,Manchester,M1 2GH,M1 2GH,53.4784078,-2.2317119,2.142857143,£29.51,3,Low,Mobile+Robots,3.9215000000000004
1812206977,Convenience Store ,Mobile Solution,9758,1400,£13.77,Highfield Road,Highfield Gardens,Blackpool,FY4 5QL,FY4 5QL,53.7890729,-3.0235417,2.142857143,£29.51,1,Low,Fixed,8.767000000000001
1812214191,Convenience Store ,Mobile Solution,7121,1400,£13.77,129 Beech Road,Chorlton,Manchester,M21 9EQ,M21 9EQ,53.4383948,-2.2805555,2.142857143,£29.51,8,Medium,Fixed,6.6950714285714295
1812296766,Convenience Store ,Mobile Solution,2200,1400,£13.77,Clippers Quay,Units 4/5 Waterman Walk,Salford,M50 3AD,M50 3AD,53.4667186,-2.2840555,2.142857143,£29.51,3,High,Mobile,2.8285714285714287
1812206199,Convenience Store ,Mobile Solution,3854,1400,£13.77,The Heath,,Bishop's Stortford,CM22 7EB,CM22 7EB,51.8129772,0.2092943,2.142857143,£29.51,3,Medium,Mobile+Robots,4.128142857142858
1812206717,Convenience Store ,Mobile Solution,8024,1400,£13.77,41 High Street,Aveley,South Ockendon,RM15 4BB,RM15 4BB,51.4990016,0.255859,2.142857143,£29.51,1,High,Fixed,7.404571428571429
1812203911,Convenience Store ,Mobile Solution,7972,1400,£13.77,246 Shrub End Road,Shrub End,Colchester,CO3 4SA,CO3 4SA,51.8730755,0.862548,2.142857143,£29.51,5,Medium,Fixed,7.363714285714286
1812238442,Convenience Store ,Mobile Solution,1136,1400,£13.77,179B Long Street,"Long Street, Easingwold",York,YO61 3JB,YO61 3JB,54.1187203,-1.1916724,2.142857143,£29.51,7,Medium,Mobile,1.9925714285714287
1812201378,Convenience Store ,Mobile Solution,2029,1400,£13.77,3 High Street,Wolstanton,Newcastle,ST5 0EY,ST5 0EY,53.0355948,-2.2219641,2.142857143,£29.51,9,Low,Mobile,2.694214285714286
1812596637,Convenience Store ,Mobile Solution,3594,1400,£13.77,Riverside,Corporation Street,Rochester,ME1 1NH,ME1 1NH,51.3883083,0.507371,2.142857143,£29.51,7,High,Mobile+Robots,3.9238571428571434
1812420694,Convenience Store ,Mobile Solution,8206,1400,£13.77,High Street,Coedpoeth,Wrexham,LL11 3UF,LL11 3UF,53.0549363,-3.0737504,2.142857143,£29.51,9,Medium,Fixed,7.547571428571429
1812433139,Convenience Store ,Mobile Solution,1661,1400,£13.77,Station Road,Llanrug,Caernafon,LL55 4AG,LL55 4AG,53.1490165,-4.1892692,2.142857143,£29.51,8,Medium,Mobile,2.4050714285714285
1812433116,Convenience Store ,Mobile Solution,3472,1400,£13.77,Petrol Old Colwyn,Colwyn Service Station,Colwyn Bay,LL29 9YG,LL29 9YG,53.2898826,-3.7035697,2.142857143,£29.51,2,Low,Mobile+Robots,3.8280000000000003
1812433119,Convenience Store ,Mobile Solution,1086,1400,£13.77,High Street,,Port Talbot,SA11 5AL,SA11 5AL,51.7468898,-3.6185332,2.142857143,£29.51,1,Low,Mobile,1.9532857142857145
1812433122,Convenience Store ,Mobile Solution,7219,1400,£13.77,Cefn Road,,Conwy,LL29 9PN,LL29 9PN,53.2896525,-3.6982795,2.142857143,£29.51,7,High,Fixed,6.7720714285714285
1812433123,Convenience Store ,Mobile Solution,9143,1400,£13.77,1-3 Central Buildings,,Blackwood,NP12 0JU,NP12 0JU,51.678853,-3.1784268,2.142857143,£29.51,7,Medium,Fixed,8.283785714285715
1812433126,Convenience Store ,Mobile Solution,7968,1400,£13.77,26-28 North Road,,Cwmbran,NP44 2EN,NP44 2EN,51.6587125,-3.005372,2.142857143,£29.51,8,High,Fixed,7.360571428571429
1812433127,Convenience Store ,Mobile Solution,3773,1400,£13.77,West End Shopping Centre,,Caldicot,NP26 4AA,NP26 4AA,51.5882643,-2.7598426,2.142857143,£29.51,5,Medium,Mobile+Robots,4.0645
1812433140,Convenience Store ,Mobile Solution,2700,1400,£13.77,Marine Terrace,,Pensarn,LL22 7PR,LL22 7PR,53.2941517,-3.5803133,2.142857143,£29.51,3,High,Mobile,3.221428571428572
1812433142,Convenience Store ,Mobile Solution,3700,1400,£13.77,26 High Street,,Denbigh,LL16 3RY,LL16 3RY,53.1833123,-3.4191724,2.142857143,£29.51,8,Low,Mobile+Robots,4.007142857142857
1812433144,Convenience Store ,Mobile Solution,7815,1400,£13.77,Village Road,,Llanfairfechan,LL33 0NH,LL33 0NH,53.2532528,-3.9764239,2.142857143,£29.51,6,Medium,Fixed,7.240357142857143
1812433146,Convenience Store ,Mobile Solution,2647,1400,£13.77,12 Straits Parade,,Fishponds,BS16 2LE,BS16 2LE,51.4820734,-2.5248954,2.142857143,£29.51,3,High,Mobile,3.179785714285715
1812433149,Convenience Store ,Mobile Solution,7038,1400,£13.77,Water Street,,Pen Y Groes,LL54 6LR,LL54 6LR,53.0534501,-4.2835926,2.142857143,£29.51,1,Low,Fixed,6.629857142857144
1812433120,Convenience Store ,Mobile Solution,6164,1400,£13.77,Danes Court Way,,Cardiff,CF5 2SF,CF5 2SF,51.5041142,-3.2387501,2.142857143,£29.51,3,Low,Mobile+Robots,5.943142857142858
1812433125,Convenience Store ,Mobile Solution,6520,1400,£13.77,31-33 Mostyn Avenue,,Llandudno,LL30 1YS,LL30 1YS,53.3205794,-3.8123659,2.142857143,£29.51,5,High,Mobile+Robots,6.222857142857143
1812433129,Convenience Store ,Mobile Solution,4687,1400,£13.77,278 Tollgate Road,,Port Talbot,SA13 2DD,SA13 2DD,51.5707274,-3.7553154,2.142857143,£29.51,3,Medium,Mobile+Robots,4.782642857142857
1812433130,Convenience Store ,Mobile Solution,1596,1400,£13.77,Newport Road,,Caldicot,NP26 3EG,NP26 3EG,51.5791395,-2.8300156,2.142857143,£29.51,1,Medium,Mobile,2.3539999999999996
1812433131,Convenience Store ,Mobile Solution,5545,1400,£13.77,30 Cardiff Road,,Cardiff,CF15 7RF,CF15 7RF,51.5422274,-3.2676735,2.142857143,£29.51,5,Low,Mobile+Robots,5.456785714285714
1812433133,Convenience Store ,Mobile Solution,9676,1400,£13.77,46-48 Station Road,,Cardiff,CF14 5LU,CF14 5LU,51.5291403,-3.1873291,2.142857143,£29.51,7,Medium,Fixed,8.702571428571428
1812433134,Convenience Store ,Mobile Solution,9837,1400,£13.77,21 Lichfield Avenue,,Worcester,WR5 1NP,WR5 1NP,52.192683,-2.1903907,2.142857143,£29.51,7,Medium,Fixed,8.829071429
1812433138,Convenience Store ,Mobile Solution,5757,1400,£13.77,4 Station Road,,Cardiff,CF15 8AA,CF15 8AA,51.5154652,-3.2503137,2.142857143,£29.51,9,Medium,Mobile+Robots,5.623357142857143
1812433141,Convenience Store ,Mobile Solution,5384,1400,£13.77,Ty Fry Lane,,Rhyl,LL18 5TE,LL18 5TE,53.2698246,-3.5067613,2.142857143,£29.51,3,Low,Mobile+Robots,5.330285714285714
1812433143,Convenience Store ,Mobile Solution,9912,1400,£13.77,Bishopston Road,,Swansea,SA3 3EN,SA3 3EN,51.58231,-4.0519218,2.142857143,£29.51,7,High,Fixed,8.888000000000002
1812433147,Convenience Store ,Mobile Solution,5733,1400,£13.77,40-42a College Green,,Bristol,BS1 5SH,BS1 5SH,51.4524879,-2.5986579,2.142857143,£29.51,1,Medium,Mobile+Robots,5.6045
1812436806,Convenience Store ,Mobile Solution,8081,1400,£13.77,Petrol Builth Wells,Station Road,Builth Wells,LD2 3SS,LD2 3SS,52.1526661,-3.4018051,2.142857143,£29.51,4,Low,Fixed,7.449357142857143
1812436807,Convenience Store ,Mobile Solution,9690,1400,£13.77,Petrol Llandaff,Llantrisant Road,Cardiff,CF5 2PW,CF5 2PW,51.501392,-3.2419178,2.142857143,£29.51,4,Low,Fixed,8.713571428571429
1812436808,Convenience Store ,Mobile Solution,8117,1400,£13.77,Station Road,,Carmarthen,SA33 4DG,SA33 4DG,51.8278466,-4.4920223,2.142857143,£29.51,5,High,Fixed,7.4776428571428575
1812436810,Convenience Store ,Mobile Solution,5729,1400,£13.77,45-49 Market Street,,Holyhead,LL65 1UL,LL65 1UL,53.3106425,-4.6329156,2.142857143,£29.51,7,Medium,Mobile+Robots,5.601357142857143
1812436812,Convenience Store ,Mobile Solution,2673,1400,£13.77,High Street,,Blaenau Ffestiniog,LL41 3AG,LL41 3AG,52.9947766,-3.9342897,2.142857143,£29.51,7,Medium,Mobile,3.200214285714286
1812436814,Convenience Store ,Mobile Solution,9306,1400,£13.77,Brecon Road,,Hirwaun,CF44 9NN,CF44 9NN,51.7385551,-3.5118119,2.142857143,£29.51,4,High,Fixed,8.411857142857142
1812436809,Convenience Store ,Mobile Solution,8178,1400,£13.77,Penybont Road,,Bridgend,CF35 5NP,CF35 5NP,51.5237528,-3.5005797,2.142857143,£29.51,7,High,Fixed,7.525571428571429
1812436811,Convenience Store ,Mobile Solution,3294,1400,£13.77,Bridgend Road,,Pontyclun,CF72 9RP,CF72 9RP,51.5326797,-3.455097,2.142857143,£29.51,3,Low,Mobile+Robots,3.688142857142857
1812438053,Convenience Store ,Mobile Solution,4630,1400,£13.77,Petrol Cirencester,Burford Road,Cirencester,GL7 5DS,GL7 5DS,51.7246982,-1.9516759,2.142857143,£29.51,6,Low,Mobile+Robots,4.737857142857143
1812438054,Convenience Store ,Mobile Solution,1146,1400,£13.77,67 Upper Howsell Road,,Malvern,WR14 1TP,WR14 1TP,52.1327375,-2.324381,2.142857143,£29.51,2,High,Mobile,2.0004285714285714
1812438055,Convenience Store ,Mobile Solution,4453,1400,£13.77,53 Gresham Road,,Worcester,WR2 5QS,WR2 5QS,52.1934431,-2.2547194,2.142857143,£29.51,9,Medium,Mobile+Robots,4.598785714285715
1812438056,Convenience Store ,Mobile Solution,5507,1400,£13.77,Ivor Street,,Pontypool,NP4 9NA,NP4 9NA,51.7725161,-3.0854823,2.142857143,£29.51,5,Low,Mobile+Robots,5.426928571428572
1812438746,Convenience Store ,Mobile Solution,6783,1400,£13.77,12 Waungron Road,,Cardiff,CF5 2JJ,CF5 2JJ,51.4886914,-3.2260452,2.142857143,£29.51,6,Low,Mobile+Robots,6.4295
1812438748,Convenience Store ,Mobile Solution,8751,1400,£13.77,Holyhead Road,,Wrexham,LL14 5NA,LL14 5NA,52.9346435,-3.0568868,2.142857143,£29.51,4,Medium,Fixed,7.975785714285714
1812438749,Convenience Store ,Mobile Solution,6628,1400,£13.77,The Cross,,Oswestry,SY11 3JR,SY11 3JR,52.8944393,-3.037773,2.142857143,£29.51,7,Low,Mobile+Robots,6.307714285714286
